Timestamp,Node,Batch_Folder,Primary_Assigned_Acc,Final_Uploaded_Acc,Status,Files_Count
2026-05-03 11:53:18,17,Batch--2026-05-03--node17,insta_acc_17,insta_acc_8,SUCCESS,84
2026-05-03 11:54:07,13,Batch--2026-05-03--node13,insta_acc_13,insta_acc_13,SUCCESS,87
2026-05-03 11:53:15,16,Batch--2026-05-03--node16,insta_acc_16,insta_acc_16,SUCCESS,104
2026-05-03 11:53:18,12,Batch--2026-05-03--node12,insta_acc_12,insta_acc_12,SUCCESS,96
2026-05-03 11:53:10,14,Batch--2026-05-03--node14,insta_acc_14,insta_acc_14,SUCCESS,93
2026-05-03 11:53:28,19,Batch--2026-05-03--node19,insta_acc_19,insta_acc_19,SUCCESS,107
2026-05-03 11:52:57,0,Batch--2026-05-03--node0,insta_acc_0,insta_acc_0,SUCCESS,106
2026-05-03 11:53:20,5,Batch--2026-05-03--node5,insta_acc_5,insta_acc_5,SUCCESS,106
2026-05-03 11:53:20,6,Batch--2026-05-03--node6,insta_acc_6,insta_acc_6,SUCCESS,102
2026-05-03 11:53:11,9,Batch--2026-05-03--node9,insta_acc_9,insta_acc_9,SUCCESS,95
2026-05-03 11:52:49,7,Batch--2026-05-03--node7,insta_acc_7,insta_acc_7,SUCCESS,95
2026-05-03 11:52:44,8,Batch--2026-05-03--node8,insta_acc_8,insta_acc_8,SUCCESS,80
2026-05-03 11:53:02,1,Batch--2026-05-03--node1,insta_acc_1,insta_acc_1,SUCCESS,98
2026-05-03 11:53:41,10,Batch--2026-05-03--node10,insta_acc_10,insta_acc_10,SUCCESS,121
2026-05-03 11:53:10,18,Batch--2026-05-03--node18,insta_acc_18,insta_acc_18,SUCCESS,93
2026-05-03 11:53:36,11,Batch--2026-05-03--node11,insta_acc_11,insta_acc_11,SUCCESS,89
2026-05-03 11:54:41,4,Batch--2026-05-03--node4,insta_acc_4,insta_acc_4,SUCCESS,125
2026-05-03 11:53:15,2,Batch--2026-05-03--node2,insta_acc_2,insta_acc_2,SUCCESS,114
2026-05-03 11:53:20,15,Batch--2026-05-03--node15,insta_acc_15,insta_acc_15,SUCCESS,102
2026-05-03 11:53:07,3,Batch--2026-05-03--node3,insta_acc_3,insta_acc_3,SUCCESS,105
